"scientific_name","bodymass","repertoire_combined","breeding_system","habitat_breath","trophic_niche","genus","mimicry","nr_predator","nr_nonpredator","nr_breedingseason","nr_outsidebreedingseason","mimicry_imputed1","mimicry_imputed2","mimicry_imputed3","mimicry_imputed4","mimicry_imputed5","mimicry_imputed6","mimicry_imputed7","mimicry_imputed8","mimicry_imputed9","mimicry_imputed10"
"Aphelocoma californica","85.7","19","territorial pairs","generalist","omnivore","Aphelocoma",0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Aphelocoma coerulescens","77.1","13","cooperative breeding","specialist","omnivore","Aphelocoma",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"Aphelocoma insularis","116","11","territorial pairs","generalist","omnivore","Aphelocoma",0,NA,NA,NA,NA,1,0,1,0,0,1,1,0,0,1
"Aphelocoma ultramarina","113.3","not reported","groups","specialist","omnivore","Aphelocoma",0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
"Aphelocoma unicolor","124.0","not reported","cooperative breeding","specialist","omnivore","Aphelocoma",0,NA,NA,NA,NA,1,1,1,0,0,1,0,0,1,0
"Aphelocoma wollweberi","113.3","6","groups","specialist","omnivore","Aphelocoma",0,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,1
"Aphelocoma woodhouseii","not reported","16","cooperative breeding","generalist","omnivore","Aphelocoma",0,NA,NA,NA,NA,1,0,1,0,0,0,0,1,1,1
"Cissa chinensis","126.6","3","territorial pairs","generalist","omnivore","Cissa",0,NA,NA,NA,NA,0,0,1,1,1,0,0,1,0,0
"Cissa hypoleuca","125.0","5","territorial pairs","specialist","omnivore","Cissa",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"Cissa jefferyi","125.0","12","territorial pairs","specialist","invertivore","Cissa",0,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1
"Cissa thalassina","125.0","4","territorial pairs","specialist","invertivore","Cissa",0,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0
"Coloeus dauuricus","208.0","not reported","groups","hypergeneralist","omnivore","Coloeus",0,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,0
"Coloeus monedula","246.0","10","groups","hypergeneralist","omnivore","Coloeus",1,2,0,NA,NA,1,1,1,1,1,1,1,1,1,1
"Corvus albicollis","894.0","3","territorial pairs","generalist","omnivore","Corvus",0,1,0,NA,NA,1,1,1,1,1,1,0,0,1,0
"Corvus albus","524.0","10","territorial pairs","generalist","omnivore","Corvus",1,2,0,0,1,1,1,1,1,1,1,1,1,1,1
"Corvus bennetti","389.0","4","groups","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1
"Corvus brachyrhynchos","448.8","21","groups","generalist","omnivore","Corvus",1,18,4,6,10,1,1,1,1,1,1,1,1,1,1
"Corvus capensis","553.0","8","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,0,1,1,1,0,1,0,1,1,0
"Corvus corax","928.0","30","territorial pairs","hypergeneralist","omnivore","Corvus",1,3,3,2,3,1,1,1,1,1,1,1,1,1,1
"Corvus cornix","437.725","3","territorial pairs","hypergeneralist","omnivore","Corvus",1,0,1,5,6,1,1,1,1,1,1,1,1,1,1
"Corvus corone","570.0","5","groups","hypergeneralist","omnivore","Corvus",1,3,0,1,3,1,1,1,1,1,1,1,1,1,1
"Corvus coronoides","644.3","4","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,0,1,1,1,0,0,0,1,0
"Corvus crassirostris","1135.0","4","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,0,0,1,0,0,1,1,1,1,0
"Corvus cryptoleucus","533.5","5","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,1
"Corvus edithae","524.0","7","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,1
"Corvus enca","251.0","4","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,0,1,1,1,0,0,1,0,1,1
"Corvus florensis","175.0","3","territorial pairs","specialist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,0,1,1,1,0,1,1,1
"Corvus frugilegus","452.1","15","groups","generalist","omnivore","Corvus",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Corvus fuscicapillus","635.0","not reported","territorial pairs","specialist","frugivore","Corvus",0,NA,NA,NA,NA,0,1,0,1,1,0,1,1,1,1
"Corvus hawaiiensis","518.8","24","territorial pairs","generalist","omnivore","Corvus",1,NA,NA,NA,NA,1,1,1,0,0,1,0,0,1,1
"Corvus imparatus","221.0","not reported","groups","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,1
"Corvus insularis","508.0","not reported","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,0,0,1,1,0,0,0,1,1
"Corvus jamaicensis","338.0","3","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,0,1,0,1,1,1,0,1
"Corvus kubaryi","249.9","4","territorial pairs","specialist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,1
"Corvus leucognaphalus","401.0","3","territorial pairs","specialist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,1,1,0,1,0,1,0,1
"Corvus macrorhynchos","513.1","not reported","territorial pairs","hypergeneralist","omnivore","Corvus",0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
"Corvus meeki","467.0","not reported","territorial pairs","specialist","omnivore","Corvus",0,NA,NA,NA,NA,0,1,1,1,1,0,0,1,1,0
"Corvus mellori","540.4","not reported","groups","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,1,0,1,0,1,0,0,1
"Corvus moneduloides","277.4","not reported","groups","generalist","omnivore","Corvus",1,2,0,NA,NA,1,1,1,1,1,1,1,1,1,1
"Corvus nasicus","401.0","not reported","territorial pairs","generalist","omnivore","Corvus",0,NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,1
